City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
112,ponta do sol,PT,68.0,32.67,-17.1,Hotel do Campo
113,upernavik,GL,39.67,72.79,-56.15,Gina's Guesthouse - Upernavik
114,fort nelson,CA,66.2,58.81,-122.7,The Fort Nelson Hotel
115,grajau,BR,70.66,-5.82,-46.14,Hotel Confiança
116,totma,RU,53.96,59.97,42.76,Varnitsy
118,bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
119,barrow,US,35.6,71.29,-156.79,King Eider Inn
120,bambous virieux,MU,71.01,-20.34,57.76,Casa Tia Villa
121,kiruna,SE,60.8,67.86,20.23,Camp Ripan
122,nome,US,68.0,64.5,-165.41,Dredge 7 Inn
123,port hardy,CA,55.4,50.7,-127.42,Airport Inn
124,saint-philippe,RE,68.0,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
125,barahona,DO,80.71,18.21,-71.1,Hotel Caribe
126,faanui,PF,77.4,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,chunhuhub,MX,75.07,19.55,-88.68,
128,irituia,BR,73.2,-1.77,-47.44,Hotel Victória
129,virginia beach,US,72.0,36.85,-75.98,Hilton Virginia Beach Oceanfront
131,severodvinsk,RU,55.4,64.56,39.83,Park Hotel
132,varna,BG,62.6,43.22,27.92,GOLDEN TULIP VARNA
133,skorodnoye,RU,68.0,51.07,37.23,
134,puro,PH,88.59,12.48,123.38,
135,torbay,CA,48.0,47.67,-52.73,Gallows Cove
137,qui nhon,VN,88.32,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
138,tambura,SS,66.97,5.6,27.47,Guest hous Tambura
139,watsa,CD,62.76,3.04,29.54,Hôtel Le Pacifique
140,khasan,RU,69.06,42.43,130.64,Krako Motorkár
141,port alfred,ZA,57.0,-33.59,26.89,The Halyards Hotel
142,bosilegrad,RS,53.8,42.5,22.47,Dukat
143,talnakh,RU,62.6,69.49,88.4,Talnakh Hotel
144,atuona,PF,80.17,-9.8,-139.03,Villa Enata
145,sao miguel do araguaia,BR,69.24,-13.28,-50.16,Hotel Executivo Palace
147,correntina,BR,63.97,-13.34,-44.64,Hotel Pousada dos Sonhos
148,mount isa,AU,68.0,-20.73,139.5,ibis Styles Mt Isa Verona
149,kapaa,US,80.6,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
150,souillac,MU,69.8,-20.52,57.52,Bils' Villa
151,gornozavodsk,RU,51.35,58.38,58.32,Hotel Kvarotel
152,cherlak,RU,67.15,54.16,74.81,Gostinitsa V Cherlake
153,iqaluit,CA,39.2,63.75,-68.51,Frobisher Inn
154,bafra,TR,60.8,41.57,35.91,Sevgi Otel
155,soyo,AO,71.96,-6.13,12.37,Hotel Mpampa
156,grants,US,73.4,35.15,-107.85,"Motel 6 Grants, NM"
158,tromso,NO,51.8,69.65,18.96,"Radisson Blu Hotel, Tromsø"
159,chokurdakh,RU,71.11,70.63,147.92,
160,east london,ZA,55.4,-33.02,27.91,Tu Casa
161,adrar,MR,95.02,20.5,-10.07,
162,nakamura,JP,82.09,32.98,132.93,Hotel Crown Hills Nakamura
163,tautira,PF,80.6,-17.73,-149.15,Pension Oaoa
164,cape town,ZA,52.0,-33.93,18.42,Southern Sun Waterfront Cape Town
166,kudahuvadhoo,MV,83.86,2.67,72.89,Kudahuvadhoo Retreat
167,sri aman,MY,84.2,1.24,111.46,Seri Simanggang Hotel
169,gravdal,NO,61.0,68.12,13.5,Skreda Rorbusuiter
170,kahului,US,87.8,20.89,-156.47,Maui Seaside Hotel
171,port elizabeth,ZA,50.0,-33.92,25.57,39 On Nile Guest House
173,rameswaram,IN,83.68,9.28,79.3,Daiwik Hotels Rameswaram
174,clyde river,CA,35.6,70.47,-68.59,Qamaq Hotel
175,olafsvik,IS,51.42,64.89,-23.71,Hotel Olafsvik
176,hervey bay,AU,73.99,-25.3,152.85,Shelly Bay Resort
177,ancud,CL,46.99,-41.87,-73.82,HOTEL ANCUD DON LUCAS
178,san patricio,MX,80.96,19.22,-104.7,Hotel Cabo Blanco
179,cabedelo,BR,75.36,-6.98,-34.83,Lua Mansa Pousada
180,petropavlovsk-kamchatskiy,RU,71.6,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
181,zambrow,PL,66.99,52.99,22.24,Pokoje Gościnne Amader
182,alice springs,AU,59.0,-23.7,133.88,Desert Palms Alice Springs
183,kodiak,US,51.8,57.79,-152.41,Best Western Kodiak Inn and Convention Center
184,vila velha,BR,68.0,-20.33,-40.29,Hotel Vitória Palace
185,chuy,UY,56.57,-33.7,-53.46,Nuevo Hotel Plaza
